PUBLIC TRANSPORT,,,,,,,,,,,,,,,,,SPEED_VIOLATION,,,,,,,,,,CLINIC_BHUBANESWAR,,,,,,,,,,,,,SLUM HOUSING,,,,,,,,,,,,,CITY PROFILING,,,,,,,INFRASTRUCTURE DISTRIBUTION,,,,,,,,, POLICE STATION ,,
City Name,Population (2011),Year,Mode Share - Total Number of Trips - Walking,Mode Share - Total Number of Trips - Non-Motorized - Cycle,Mode Share - Total Number of Trips - Non-Motorized - Rickshaw,Mode Share - Total Number of Trips - Public Transport - Local Train / Metro,Mode Share - Total Number of Trips - Public Transport - Bus,Mode Share - Total Number of Trips - Public Transport - Auto,"Mode Share - Total Number of Trips - Intermediate Public Transport (shared auto, auto rickshaw, taxi etc)",Mode Share - Total Number of Trips - Private Vehicle - 2 wheeler,Mode Share - Total Number of Trips - Private Vehicle - 4 wheeler,Mode Share - Total Number of Trips - ,Name,tessellate,extrude,visibility,drawOrder,Corridor,Stretch,Latitude,Longitude,Status,name,category,type,system_of,address,e_mail_id,website,specialiti,latitude,longitude,Zone,Ward Name,Ward No.,No. Notified Slums,No. of Recognised Slums,No. of Identfied Slums,Slum Population - Total,Slum Population - Male,Slum Population - Female,Slum Population - Child (0-6),Population - SC Category,Population - ST Category,Literacy Rate (%),Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands),Ward No.,No. of Census houses,No. of Occupied Houses,No. of Residential Houses,No. of Residential cum Commercial  Houses,No. of Shops / Offices,No. of Hotels / Lodges / Guest Houses,No. of places of Worship,Others,Zone,P.S Name,location,address,phone no,Inspector-In-Charge
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Perfect Smile Laser Dental Clinic,PRIVATE,Clinic,ALLOPATHIC,"Shop No.261, Near CRP Square, N1,Nayapalli, N1, Block N1, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015",NA,www.perfectsmile.co.in,Dental,20.28557778,85.807575,North,NA,11,NA,NA,3,1541,NA,NA,NA,NA,NA,NA,North Zone,NA,W17,0.26113185,12.238,6.334,5.904,1.963,1.365,NA,NA,19,NA,NA,NA,NA,NA,NA,10,NA,EAST,Mahila Police Station,BAPUJINAGAR,"Rajpath, Near Daily Market, Unit-I",0674-2530694,Smt. Banita Moharana
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Hair Transplant Clinic Bhubaneswar,PRIVATE,Clinic,ALLOPATHIC,"64, Upper Ground Floor, Gopabandhu-Delta Rd, Unit 8, Gopabandhu Nagar, Bhubaneswar, Odisha 751008",haircaredoctors@gmail.com,NA,Hair,20.27791944,85.80881389,North,NA,12,NA,NA,6,4734,NA,NA,NA,NA,NA,NA,North Zone,NA,W26,1.904543356,12.167,6.516,5.651,1.479,1.165,NA,NA,27,NA,NA,NA,NA,NA,NA,4,NA,EAST,Kharabelanagar Police Station,KHARBELNAGAR,"Janpath, Near Gurudwar, Unit-III",0674-2534272,Sri Arun Kumar Swain
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Bhubaneswar Super Speciality Clinic,PRIVATE,Clinic,ALLOPATHIC,"Near Andhra Bank, IRC Village, Ekamra Kanan Road, Jaydev Vihar, Bhubaneswar, Odisha 751015",NA,NA,NA,20.29874444,85.80938333,North,NA,13,NA,NA,3,3173,NA,NA,NA,NA,NA,NA,North Zone,NA,W21,2.225531651,11.32,5.93,5.39,1.283,1.714,NA,NA,29,NA,NA,NA,NA,NA,NA,1,NA,EAST,Saheed Nagar Police Station,VANIVihar,"Near Utkal University,Vani Vihar",0674-2541064,Sri Himansu Bhusan Swain
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Apollo Speciality Clinic & Diagnostic Centre,PRIVATE,Clinic,ALLOPATHIC,"11-a, Bjb Nagar, Kalpana Area, BJB Nagar, Bhubaneswar, Odisha 751014",NA,NA,NA,20.25672778,85.84465,North,NA,14,NA,NA,10,7494,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W24,0.301532377,13.636,7.127,6.509,0.571,0.453,NA,NA,15,NA,NA,NA,NA,NA,NA,3,NA,EAST,DCP Office,VANIVihar,"Vanivihar Square, Janpath Rd, Gridco Colony, Bhoi Nagar, Bhubaneswar, Odisha 751022",0674-254 0555,NA
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Suzi Clinic,PRIVATE,Clinic,ALLOPATHIC,"Saheed Nagar, Bhubaneswar, Odisha 751007",NA,NA,Gastroenterology,20.29449167,85.84456389,South-West,NA,15,NA,NA,2,3030,NA,NA,NA,NA,NA,NA,North Zone,NA,W16,0.310550306,11.404,6.069,5.335,0.952,1.984,NA,NA,30,NA,NA,NA,NA,NA,NA,4,NA,EAST,New DCP Office,GOPABANDHUNAGAR,NA,NA,NA
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Sai Laser Dental Care,PRIVATE,Clinic,ALLOPATHIC,"18, Janpath, Near Laxmi Puja Mandap, Bapuji Nagar, Bhubaneswar, Odisha 751009",NA,NA,Dental,20.25775833,85.83472222,North,NA,16,NA,NA,15,19610,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W30,0.404761664,12.22,6.348,5.872,0.441,0.47,NA,NA,31,NA,NA,NA,NA,NA,NA,2,NA,EAST,Air Field Police Station,NA,Near Vivekananda Sikhya Kendra,0674-2590192,Sri Deepak Kumar Mishra
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Hope Fertility & Ultrasound Clinic,PRIVATE,Clinic,ALLOPATHIC,"572, State BanK Of India Road, Sahid Nagar, Bhubaneswar, Odisha 751007",NA,NA,Fertility,20.28847778,85.85036389,North,NA,17,NA,NA,9,8314,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W34,0.551555383,13.013,6.854,6.159,1.108,0.319,NA,NA,48,NA,NA,NA,NA,NA,NA,2,NA,EAST,Balianta Police Station,Balianta,"Balianta, Dist-Khurda",0674-2461333,Sri Pradipta Ku. Rout
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Life Span,PRIVATE,Clinic,ALLOPATHIC,"Plot No.HIG-46, 1st Floor ,Opposite To Pal Heights,Jayadev Vihar Main Road, Jayadev Vihar, BDA Colony, Doordarshan Colony, Gajapati Nagar, Bhubaneswar, Odisha 751013",NA,www.lifespanindia.com,Diabetes,20.29729167,85.82494167,North,NA,18,NA,NA,3,1962,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W29,0.477210676,11.518,6.115,5.403,1.198,0.43,NA,NA,34,NA,NA,NA,NA,NA,NA,1,NA,EAST,Jatani Police Station,Jatani P.S,"Near Town Hall, Jatni Bhubaneswar",0674-2490656,Sri Biswaranjan Sahoo
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Saikrupa Orthodontics & Cosmetic Dental Clinic�,PRIVATE,Clinic,ALLOPATHIC,"1st floor, Kalyani Plaza, Patrapada, Bhubaneswar- 30, NH16, Patrapada, Bhubaneswar, Odisha 751019",NA,www.practo.com,Dental,20.24385,85.77327778,North,NA,19,NA,NA,3,2504,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W35,0.437029699,14.13,7.436,6.694,1.392,0.274,NA,NA,35,NA,NA,NA,NA,NA,NA,2,NA,EAST,Energy Police Station,Energy P.S,"Qr.No-3R/1,Near Power House Square, Bhubaneswar",0674-2396020,Shri Sudeep Ku. Mohapatra
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Orissa Cosmetic Surgery Clinic,PRIVATE,Clinic,ALLOPATHIC,"Plot No.1, Near Sisuvawan Square, Forest Park, New Bapuji Nagar, Bhubaneswar, Odisha 751002",info@orissacosmeticsurgery.com,www.orissacosmeticsurgery.com,Plastic Surgeon,20.2561,85.82686667,North,NA,20,NA,NA,10,11513,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W40,0.28770801,13.179,7.069,6.11,1.621,0.594,NA,NA,36,NA,NA,NA,NA,NA,NA,4,NA,EAST,Nandankanan Police Station,Nandankanan P.S,"Near nandankanan Zoological Park, Bhubaneswar",0674-2466100,Sri Biswaranjan Senapati
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,The Partha's Dental Clinic,PRIVATE,Clinic,ALLOPATHIC,"Plot No.1 & 2, Lane 2, Adarsh Vihar, Aryapalli, Patia, Bhubaneswar, Odisha 751024",contact@theparthasdentalclinic.org,www.theparthasdentalclinic.org,Dental,20.35499444,85.82676111,North,NA,21,NA,NA,5,11086,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W28,0.456063298,12.23,6.386,5.844,1.025,1.654,NA,NA,50,NA,NA,NA,NA,NA,NA,1,NA,EAST,Chandaka Police Station,Chandaka P.S,"Near Revenue Office, Chandaka, Bhubaneswar",0674-2466000,Sri Debendra kumar Biswal
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Utkal Dental Care�,PRIVATE,Clinic,ALLOPATHIC,"Near Maa Sakti Hospital, 166, 43, Forest Park area (Unit-6), Ekamra Rd, Ganga Nagar, Bhubaneswar, Odisha 751001",NA,www.utkaldentalcare.com,Dental,20.25879722,85.82029444,South-West,NA,22,NA,NA,13,12042,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W36,0.233083656,11.509,6.058,5.451,1.783,0.851,NA,NA,40,NA,NA,NA,NA,NA,NA,3,NA,EAST,Balipatna Police Station,Balipatna,"Near Balipatna College, Balipatna, Bhubaneswar",0674-2462219,Sri Radhakanta Sahu
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Abinash Clinic & Nursing Home,PRIVATE,Clinic,ALLOPATHIC,"B-35, Saheed Nagar, Near Bapu Opticals, Saheed Nagar, Bhubaneswar, Odisha 751007",NA,NA,Multy,20.28998199,85.84390659,South-West,NA,23,NA,NA,16,9983,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W46,0.366516953,11.804,6.128,5.676,1.843,0.281,NA,NA,51,NA,NA,NA,NA,NA,NA,1,NA,EAST, Tamando Police Station,Tamando,"Tamando, NH-5,� Bhubaneswar",0674-2475252,Sri Pramod Kumar Pattnaik
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Apollo Polyclinic & Pathology Lab,PRIVATE,Clinic,ALLOPATHIC,"796, Cuttack Road, Near Budheswari Temple, Laxmi Sagar, Bhubaneswar, Odisha 751006",NA,NA,Multy,20.26573611,85.84734167,South-West,NA,24,NA,NA,4,2740,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W37,0.425837946,11.679,6.079,5.6,0.737,0.403,NA,NA,42,NA,NA,NA,NA,NA,NA,1,NA,EAST,Dhauli Police Station,Dhauli,"Gopinathpur, Bhubaneswar",0674-2465105,Sri Dayanidhi Nayak
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Eugenix Hair Sciences Bhubaneswar,PRIVATE,Clinic,ALLOPATHIC,"HIG 34/H, Jaidev Bihar, G M Nagar, BDA Colony, Doordarshan Colony, Gajapati Nagar, Bhubaneswar, Odisha 751013",NA,www.eugenix.in,Hair,20.29769167,85.82455556,South-West,NA,25,NA,NA,4,2828,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W38,0.783957616,11.916,6.118,5.798,0.694,0.113,NA,NA,45,NA,NA,NA,NA,NA,NA,1,NA,EAST,Airport Police Station,Airport,"Airport Squar, Bhubaneswar",0674-2596977,Sri Umakanta Pradhan
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Aspire Dental Centre,PRIVATE,Clinic,ALLOPATHIC,"Plot No.702, Bomikhal, Cuttack Road, Mahaveer Nagar, Jharapada, Bhubaneswar, Odisha 751006",NA,NA,Dental,20.27936111,85.85470278,North,NA,26,NA,NA,9,10271,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W39,0.512166861,12.716,6.734,5.982,0.587,0.249,NA,NA,63,NA,NA,NA,NA,NA,NA,1,NA,,Traffic-II,CHANDRASEKHARPUR,"In the campus of CSPur P.S, Near Capital Eng. College, Patia, Bhubaneswar,� � � � � � � � � � � � � � � � � � � �",0674-2742266� �,Smt. Anjali Chhotray
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Sri Sai Seba Homoeo Clinic,PRIVATE,Clinic,Homeopath,"25-A, Infront Of DUKE, Bapuji Nagar, Bhubaneswar, Odisha 751009",NA,NA,NA,20.25834167,85.83514444,South-West,NA,27,NA,NA,4,6578,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W63,0.367407278,12.241,6.458,5.783,0.647,0.215,NA,NA,55,NA,NA,NA,NA,NA,NA,5,NA,,Bharatpur,Bharatpur,"Bharatpur, Bhubaneswar",,Sri Durga Prasad Jena
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Kedia Laser Dental Care,PRIVATE,Clinic,ALLOPATHIC,"222, Hotel Sashi Complex, Venus Inn Lane, Bapuji Nagar, Bhubaneswar, Odisha 751009",drsdkedia@gmail.com,www.kediadentalcare.com,Dental,20.25758356,85.83654152,South-East,NA,28,NA,NA,5,5196,NA,NA,NA,NA,NA,NA,South-West Zone,NA,W50,0.202026061,11.795,6.379,5.416,0.771,0.133,NA,NA,65,NA,NA,NA,NA,NA,NA,1,NA,,Traffic,Near A.G.Sqr,"Near A.G.Sqr, Bhubaneswar,",674-2530941,Sri Surendra Kumar Bal
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Patanjali Chikitsalaya,PRIVATE,Clinic,AYURVEDIC,"A/60, Sahid Nagar, Near Pantaloons, Saheed Nagar, Bhubaneswar, Odisha 751007",NA,NA,Multy,20.29441111,85.84594167,South-East,NA,29,NA,NA,5,3959,NA,NA,NA,NA,NA,NA,North Zone,NA,W19,0.531553693,14.071,7.505,6.566,0.483,0.502,NA,NA,57,NA,NA,NA,NA,NA,NA,1,NA,,,,,,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Mother And Child Care Clinic,PRIVATE,Clinic,ALLOPATHIC,"C-28, Market Building, Sahid Nagar, Near BMR Bhawani Mall, Saheed Nagar, Bhubaneswar, Odisha 751007",NA,NA,NA,20.28628889,85.84810278,South-East,NA,30,NA,NA,3,1917,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W31,0.395539195,11.633,6.328,5.305,0.803,0.107,NA,NA,58,NA,NA,NA,NA,NA,NA,1,NA,,,,,,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Srushti Test Tube Baby Centre�,PRIVATE,Clinic,ALLOPATHIC,"HIG-39, Opp. Pal Heights, Jayadev Vihar, BDA Colony, Doordarshan Colony, Gajapati Nagar, Bhubaneswar, Odisha 751015",NA,www.drnamrathassrushtiivf.com,Pregnancy Care Center,20.29765556,85.82492778,South-East,NA,31,NA,NA,6,4206,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W33,0.562579717,12.453,6.754,5.699,0.517,0.197,NA,NA,54,NA,NA,NA,NA,NA,NA,2,NA,,,,,,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Dent Plus Dental Clinic�,PRIVATE,Clinic,ALLOPATHIC,"Patia, Bhubaneswar, Odisha 751024",NA,NA,Dental,20.35846667,85.82810556,South-East,NA,32,NA,NA,4,2656,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W42,0.596562024,13.272,6.951,6.321,1.596,0.072,NA,NA,44,NA,NA,NA,NA,NA,NA,1,NA,,,,,,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Sadhana Clinic & Laboratory,PRIVATE,Clinic,ALLOPATHIC,"Shop No: 29, BDA Market Complex, Near Durga Mandap, Chandrasekharpur, Forest Colony, BDA Colony, Chandrasekharpur, Bhubaneswar, Odisha 751016",NA,NA,NA,20.31934444,85.81845556,South-East,NA,33,NA,NA,3,3374,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W43,0.762753296,13.773,7.265,6.508,0.71,0.118,NA,NA,60,NA,NA,NA,NA,NA,NA,6,NA,,,,,,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Kasturi Medical Care,PRIVATE,Clinic,NA,"19, Unit - 4, Bhouma Nagar, Bhubaneswar, Odisha 751001",NA,www.kasturimedped.com,MULTY-SPCIALITY,20.28429312,85.83149594,South-East,NA,34,NA,NA,6,6302,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W45,0.809699784,11.376,6.023,5.353,0.386,0.256,NA,NA,61,NA,NA,NA,NA,NA,NA,2,NA,,,,,,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Mamata Multispeciality Dental Clinic,PRIVATE,Clinic,NA,NA,NA,NA,DENTAL,20.28870888,85.84386207,South-East,NA,35,NA,NA,7,4605,NA,NA,NA,NA,NA,NA,South-East Zone,NA,W54,0.710532013,13.318,7.032,6.286,0.556,0.05,NA,NA,67,NA,NA,NA,NA,NA,NA,1,NA,,,,,,
Bhubaneswar,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,Dentovilla Dental Clinic,PRIVATE,Clinic,ALLOPATHIC,"N-4/262, In Front Of Azad Hind Club, Irc Village, Nayapalli, CRPF Colony, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015",NA,www.dentovilla.com,Dental,20.28976667,85.80509444,South-East,NA,36,NA,NA,2,839,NA,NA,NA,NA,NA,NA,North Zone,NA,W20,1.12678781,11.677,6.267,5.41,0.971,1.568,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,,,,,,
